date,symbol,close
2010-01-04,AUDUSD,0.91330000
2010-01-04,CHFUSD,0.97143967
2010-01-04,EURUSD,1.44190000
2010-01-04,GBPUSD,1.61090000
2010-01-04,JPYUSD,0.01080497
2010-01-05,AUDUSD,0.91430000
2010-01-05,CHFUSD,0.96880450
2010-01-05,EURUSD,1.44020000
2010-01-05,GBPUSD,1.60090000
2010-01-05,JPYUSD,0.01093135
2010-01-06,AUDUSD,0.91890000
2010-01-06,CHFUSD,0.97257343
2010-01-06,EURUSD,1.44040000
2010-01-06,GBPUSD,1.60160000
2010-01-06,JPYUSD,0.01080731
2010-01-07,AUDUSD,0.91680000
2010-01-07,CHFUSD,0.96702447
2010-01-07,EURUSD,1.43140000
2010-01-07,GBPUSD,1.59120000
2010-01-07,JPYUSD,0.01071696
2010-01-08,AUDUSD,0.92180000
2010-01-08,CHFUSD,0.97125097
2010-01-08,EURUSD,1.43570000
2010-01-08,GBPUSD,1.59930000
2010-01-08,JPYUSD,0.01078749
2010-01-11,AUDUSD,0.92950000
2010-01-11,CHFUSD,0.98483356
2010-01-11,EURUSD,1.45360000
2010-01-11,GBPUSD,1.61460000
2010-01-11,JPYUSD,0.01088139
2010-01-12,AUDUSD,0.92420000
2010-01-12,CHFUSD,0.98425197
2010-01-12,EURUSD,1.45230000
2010-01-12,GBPUSD,1.61810000
2010-01-12,JPYUSD,0.01099505
2010-01-13,AUDUSD,0.92250000
2010-01-13,CHFUSD,0.98096920
2010-01-13,EURUSD,1.44920000
2010-01-13,GBPUSD,1.62880000
2010-01-13,JPYUSD,0.01094331
2010-01-14,AUDUSD,0.93060000
2010-01-14,CHFUSD,0.97981579
2010-01-14,EURUSD,1.44780000
2010-01-14,GBPUSD,1.63200000
2010-01-14,JPYUSD,0.01098539
2010-01-15,AUDUSD,0.92340000
2010-01-15,CHFUSD,0.97427903
2010-01-15,EURUSD,1.43760000
2010-01-15,GBPUSD,1.62400000
2010-01-15,JPYUSD,0.01101443
2010-01-19,AUDUSD,0.92320000
2010-01-19,CHFUSD,0.96711799
2010-01-19,EURUSD,1.42690000
2010-01-19,GBPUSD,1.63700000
2010-01-19,JPYUSD,0.01097333
2010-01-20,AUDUSD,0.90850000
2010-01-20,CHFUSD,0.95666316
2010-01-20,EURUSD,1.40940000
2010-01-20,GBPUSD,1.62870000
2010-01-20,JPYUSD,0.01096131
2010-01-21,AUDUSD,0.90530000
2010-01-21,CHFUSD,0.95914061
2010-01-21,EURUSD,1.41060000
2010-01-21,GBPUSD,1.62140000
2010-01-21,JPYUSD,0.01108033
2010-01-22,AUDUSD,0.90500000
2010-01-22,CHFUSD,0.96153846
2010-01-22,EURUSD,1.41540000
2010-01-22,GBPUSD,1.61200000
2010-01-22,JPYUSD,0.01110248
2010-01-25,AUDUSD,0.90300000
2010-01-25,CHFUSD,0.96126117
2010-01-25,EURUSD,1.41460000
2010-01-25,GBPUSD,1.62360000
2010-01-25,JPYUSD,0.01109632
2010-01-26,AUDUSD,0.89490000
2010-01-26,CHFUSD,0.95547487
2010-01-26,EURUSD,1.40630000
2010-01-26,GBPUSD,1.61090000
2010-01-26,JPYUSD,0.01115698
2010-01-27,AUDUSD,0.89670000
2010-01-27,CHFUSD,0.95492743
2010-01-27,EURUSD,1.40530000
2010-01-27,GBPUSD,1.62040000
2010-01-27,JPYUSD,0.01118443
2010-01-28,AUDUSD,0.90240000
2010-01-28,CHFUSD,0.95084149
2010-01-28,EURUSD,1.39930000
2010-01-28,GBPUSD,1.62420000
2010-01-28,JPYUSD,0.01110124
2010-01-29,AUDUSD,0.88730000
2010-01-29,CHFUSD,0.94723880
2010-01-29,EURUSD,1.38700000
2010-01-29,GBPUSD,1.60090000
2010-01-29,JPYUSD,0.01106439
2010-02-01,AUDUSD,0.88770000
2010-02-01,CHFUSD,0.94464387
2010-02-01,EURUSD,1.39040000
2010-02-01,GBPUSD,1.59240000
2010-02-01,JPYUSD,0.01101322
2010-02-02,AUDUSD,0.88430000
2010-02-02,CHFUSD,0.94723880
2010-02-02,EURUSD,1.39550000
2010-02-02,GBPUSD,1.59680000
2010-02-02,JPYUSD,0.01106317
2010-02-03,AUDUSD,0.88180000
2010-02-03,CHFUSD,0.94428706
2010-02-03,EURUSD,1.39070000
2010-02-03,GBPUSD,1.59150000
2010-02-03,JPYUSD,0.01097574
2010-02-04,AUDUSD,0.86460000
2010-02-04,CHFUSD,0.93852651
2010-02-04,EURUSD,1.37590000
2010-02-04,GBPUSD,1.57630000
2010-02-04,JPYUSD,0.01122209
2010-02-05,AUDUSD,0.86170000
2010-02-05,CHFUSD,0.92772985
2010-02-05,EURUSD,1.36080000
2010-02-05,GBPUSD,1.56190000
2010-02-05,JPYUSD,0.01120448
2010-02-08,AUDUSD,0.86930000
2010-02-08,CHFUSD,0.93492895
2010-02-08,EURUSD,1.36990000
