run_a,run_b
0.000000,0.005000
0.003785,-0.003331
-0.002447,-0.000561
-0.002203,0.004079
0.003872,-0.004874
-0.000301,0.002417
-0.003677,0.001654
0.002678,-0.004621
0.001946,0.004503
-0.003936,-0.001380
0.000600,-0.002664
0.003549,0.004930
-0.002894,-0.003906
-0.001677,0.000274
0.003979,0.003540
-0.000895,-0.004992
-0.003400,0.003112
0.003093,0.000845
0.001400,-0.004238
-0.003998,0.004802
0.001185,-0.002161
0.003232,-0.001923
-0.003275,0.004723
-0.001114,-0.004371
0.003996,0.001102
-0.001469,0.002903
-0.003046,-0.004970
0.003438,0.003720
0.000822,0.000013
-0.003970,-0.003737
0.001745,0.004967
0.002842,-0.002881
-0.003582,-0.001127
-0.000526,0.004384
0.003922,-0.004714
-0.002010,0.001898
-0.002623,0.002185
0.003706,-0.004809
0.000226,0.004224
-0.003852,-0.000819
0.002264,-0.003132
0.002388,0.004993
-0.003809,-0.003521
0.000074,-0.000301
0.003761,0.003922
-0.002506,-0.004926
-0.002140,0.002642
0.003890,0.001406
-0.000375,-0.004515
-0.003647,0.004610
0.002733,-0.001629
0.001880,-0.002440
-0.003949,0.004880
0.000673,-0.004063
0.003514,0.000534
-0.002945,0.003351
-0.001610,-0.005000
0.003986,0.003312
-0.000967,0.000587
-0.003360,-0.004094
