run_a,run_b
0.001000,0.001400
0.001322,0.000960
0.001493,0.000286
0.001432,0.000364
0.001167,0.001081
0.000825,0.001386
0.000564,0.000832
0.000509,0.000231
0.000684,0.000463
0.001008,0.001189
0.001328,0.001344
0.001494,0.000703
0.001427,0.000203
0.001160,0.000578
0.000817,0.001278
0.000560,0.001277
0.000510,0.000578
0.000691,0.000204
0.001017,0.000703
0.001335,0.001345
0.001495,0.001188
0.001423,0.000463
0.001152,0.000232
0.000809,0.000833
0.000556,0.001386
0.000512,0.001081
0.000698,0.000364
0.001025,0.000286
0.001341,0.000961
0.001496,0.001400
0.001418,0.000960
0.001144,0.000286
0.000801,0.000365
0.000552,0.001082
0.000514,0.001386
0.000704,0.000832
0.001034,0.000231
0.001347,0.000464
0.001497,0.001189
0.001414,0.001344
0.001135,0.000702
0.000794,0.000203
0.000549,0.000579
0.000516,0.001278
0.000711,0.001277
0.001042,0.000577
0.001353,0.000204
0.001498,0.000704
0.001409,0.001345
0.001127,0.001188
0.000786,0.000463
0.000545,0.000232
0.000518,0.000833
0.000718,0.001386
0.001050,0.001080
0.001359,0.000364
0.001499,0.000286
0.001404,0.000962
0.001119,0.001400
0.000778,0.000959
